label,prepro
0.0,look like spit food normal transaction chill polite not want eat m try think milky whiteclear substance food d sure come
1.0,d mcdonald far food atmosphere staff difference friendly accommodate smile make pleasant experience fast food place
0.0,mobile order get speaker check line move leave late work get refund app call say money person stick system go person day manager tell wasn
1.0,mc crispy chicken sandwich customer service quick p
0.0,repeat order time drive manage mess suppose large meal double filet fish large fry cheese wrong need pay close attention order understand english need work drive
0.0,work door dash lock wait long line reason try beg open m door dash refuse covid new job
0.0,location zero customer service pull drive place simple order order regular hamburg cookie pay pull window pick tell pull space sit sit minute later order go counter yell hello time young lady come ask handle counter young girl appear complaint shorter show receipt minute later get order order drink sit counter get person order get home regular hamburg cookie not bother go location horrible experience time review
1.0,m huge fan fast food teenage daughter enjoy mcd staff friendly order correct far good mcd enjoy appreciate quality service quality people ll definitely find evening crew not day girl joke food staff go end know have order ready lmao great people excellent service
0.0,bad mcdonald
0.0,stop quick breakfast crowd inside pretty long drive order suppose food item drink miss food item lady ignore tell husband go finish task hand word smile
0.0,morning crew fast efficient night crew different experience line street hour long wait time occurrence not bad nightly problem staff highly rude leave want crash car building not forget mistake order single time serve cold
0.0,order food burger wrong leave order drink cup lid fatten poor service girl handing order window january pm
0.0,dine experience table dirty food wait minute chicken sandwich burn
1.0,line ws extremely big move slowly plus apple pie strawberry cream pie give substitute cinnabun staff apologetic slow pie middle night extremely understaffed
0.0,boy attend wait see drink wrong throw bag food grimace disappointed
1.0,staff different make order little difficult state perpetual learning lead wait bit long lobby clean bathroom
0.0,not believe experience order taker go drive employee directly ask want keep rush take order car placing order want add item ask minute keep ask say ready response car placing order time tell ready respond pause want excuse talk customer like ask review flat deny ask receipt hand credit card swipe return card m wait receipt family car start input order tablet wait waive hand time open window say receipt window excuse go window pick food ask manager get jamar receipt state pm order not want complain intolerable
0.0,meh meh finally correct order generally tasty m picky eater find way navigate menu item like work service industry year server bartender trainer taking fulfilling order hard tedious time busy hope order correct leave time past past year order perfectly correct exaggeration order large fry mention get home pull bag hardly d fill enjoy minute drive home little send picture post mcdonald facebook hot evening staff pleasant morning staff leave lot desire think talk negatively people spanish open light skin puerto rican understand perfectly submit complaint receive email not anymore avoid stress pay money likely wrong
0.0,need caffeine staff drive shove drink hand professional
0.0,consistently bad meal pay microwave nugget cold fry minute wait ask not well go hungry give meal pay homeless donation box drive
0.0,mcdonald proud broken ice cream machine planet ask drive ice cream lady reply
1.0,new upgrade look great clean great staff
0.0,mcdonald horrible service lazy employee mean cmon intentionally hire unqualified people
0.0,location wack literally stop take order people sit parking lot like minute not order dinner food anymore go multiple time right leave pinballz arcade sit parking lot drivethru line wait wait order menu change look mcdonald want breakfast deluxe not show morning thank
0.0,honor advertise price extra pickle
0.0,spend minute wait mcdonald accord google open finally pull window sure employee seat lobby window tell close need replace mcdonald corporate power house reputation unprofessional experience ve fast food recomend location
0.0,hit pretty good beginning great didn long mean service fast attitude
0.0,location horrible store work general manger omar delgado doesn know run store efficiently supervisor eduardo doesn care run work manger
0.0,rd time get
1.0,staff friendly job perfectly
1.0,awesome service food hot well
0.0,go drive order large fry chicken deluxe sandwich get pay window read spicey chicken sandwich restate want deluxe crispy chicken sandwich say fix have pay second time lettuce tomatothen get order spicey chicken sandwich inside deluxe crispy chicken b
0.0,didn minute order able order normal menu instead disgusting br
0.0,bad mcdonald not come order wrong time today drive person barely hear yell window pay m ask order tell end repeat order entire staff look confused hell like drop outta sky m ask pay sure order speaker you wear head set cook bad leadership ve see
1.0,frequent location yearsmorningmidday nightthe food hotfresh serve smile
0.0,drink water employee downright rude ask replace drink
0.0,order large fry buy arrive destination see fill carton give small portion pay right management need correct steal customer plain wrong order large expect come large notice bad experience review low order order create good business give people exceptional experience goal opposite
0.0,answer mess order time hour
0.0,slow wait food fix ile fake smile welcome mcdonald great day especially drive something wrong major attitude especially shift manager guy tall black guy sorry not know
0.0,horrible service worker stank attitude reason work window mute attitude mad miserable work mess order don answer phone ridiculous find long hair daughter happy meal fry extra fry miss meal t
0.0,normally location pretty good night absolutely ridiculous sit drive hour wait order take line wrap twice building finally give try drive window order line get window tell not d tell d like order ve wait time proceed refuse fault wait second lane claim close sign second lane open sign talk wet floor sign place right drivethru menu tell lane look open proceed argue slam drive window shut ve receive deplorable customer service life manager read highly suggest fire worker night
0.0,go location tonight oreo mcflurry different mcdonald forget early completely refuse unbelievable ice cream
0.0,rude customer service unprofessional attitude overcook food complimentary item screw order not understand job negative review vow eat eat cold baked bean
0.0,representative rude disrespectful refuse fulfil order simply hang drive window disappointed location manager pretend like happen
1.0,good quick drive service long line go quickly
1.0,time great staff nvr food wrong line wrap lol s be not star def customer service well food hey kid love good customer service guy make difference
0.0,go pick food restaurant late night drive tell wait near door get order wait minute come food order assign come drive take half hour good lot people get food care driver wait long time thank
1.0,open hrs darn time hour day day week mean place open eleventeen million hour year not know find people work mean shower brush tooth change clothe think idea robot clone like example s dolly sheep s pretty hot ngl
1.0,late order wrong person take order need slow
0.0,manager rude research blvdin north austin tx diner time rd time manager not ackowledge discription say manager spanish ft tall long blondoish hair pull pony tail read previous review thry good need check go
0.0,come mother ask coke lady rude say coworker spanish omg fat woman hurt say know say teach employee speck properly people
0.0,place order young lady drive keep have issue get order correctly pay order go second window give huge bag break stuff pull little bit check order notice miss item fry pull let lady window know miss dismiss nd window lady second window weren good state drive miss fry didn realize receipt bag confirm order find give lady second lady guess hear inconvenience order correct ownership possibly go wrong compassion instead kind prude receive fry manager dismiss condescending
1.0,get order wrong employee change lot consistently quick nice price low location not know total welcome change haha
0.0,extra star staff polite drive issue constantly order wrong ask pull forward fix leave hang twice sit minute new understand train new people place order repeat correctly come wrong repeat time sure right inside need sure read ticket quarter pounder especially multi menu choice add bacon lettuce tomatoe tea late taste like dish soap fountain drink funky taste numerous time fry cooked
0.0,mcdonald usually pretty bad inventory short especially bbq sauce conspiracy lover mcys nugget know tend forget bbq sauce sauce overall not self go anytime soon
0.0,uber eat have connectivity issue push order location suppose cancel know not mcdonald fault call mcdonald try address issue answer ignore leave phone hook attempt get dial tone know place short staff not ignore people
